Unix Time,Temperature,Humidity
1636619013.0,27.69,47.19
1636619018.0,27.74,47.14
1636619023.0,27.78,47.31
1636619174.0,27.81,47.40
1636619179.0,27.74,47.17
1636619184.0,27.66,46.82
1636619189.0,27.62,46.80
1636619195.0,27.63,46.66
1636619200.0,27.64,46.63
1636619205.0,27.65,46.92
1636619210.0,27.67,46.99
1636619215.0,27.71,46.96
1636619220.0,27.74,47.10
1636630188.0,30.98,40.88
1636630193.0,30.97,40.83
1636630198.0,30.99,40.89
1636632206.0,32.08,37.56
1636632211.0,32.06,37.64
1636632216.0,32.09,37.56
1636632221.0,32.14,37.45
1636632226.0,32.18,37.32
1636632232.0,32.22,37.16
1636632237.0,32.23,37.14
1636632242.0,32.22,37.28
1636632247.0,32.18,37.41
1636632252.0,32.17,37.55
1636634341.0,33.18,34.77
1636634346.0,33.15,35.09
1636634351.0,33.15,35.21
1636634356.0,33.12,35.19
1636634361.0,33.09,35.29
1636634366.0,32.99,35.53
1636634371.0,32.86,35.67
1636634376.0,32.76,35.82
1636634381.0,32.72,36.07
1636634386.0,32.73,36.11
1636635148.0,32.52,36.92
1636635153.0,32.46,36.92
1636635158.0,32.40,37.07
1636635163.0,32.34,37.20
1636635168.0,32.30,37.32
1636635173.0,32.29,37.46
1636635178.0,32.31,37.50
1636635183.0,32.34,37.48
1636635188.0,32.34,37.70
1636635193.0,32.36,37.81
1636635602.0,33.10,37.83
1636635607.0,33.03,37.79
1636635612.0,33.01,37.73
1636635617.0,33.02,37.84
1636635622.0,33.01,37.55
1636635627.0,33.02,37.29
1636635632.0,33.07,37.19
1636635637.0,33.08,37.07
1636635642.0,33.11,37.32
1636635647.0,33.16,37.32
1636639202.0,37.36,33.70
1636639207.0,37.17,33.93
1636639212.0,37.10,34.19
1636639217.0,37.04,34.31
1636639222.0,36.99,34.38
1636639228.0,37.04,34.43
1636639233.0,37.01,34.43
1636639238.0,36.92,34.60
1636639243.0,36.84,34.81
1636639376.0,36.33,34.06
1636639381.0,36.18,33.48
1636639386.0,36.01,33.78
1636639391.0,36.00,34.16
1636639396.0,36.07,33.95
1636639401.0,36.00,33.06
1636639406.0,35.88,32.64
1636639411.0,35.67,31.90
1636639416.0,35.58,32.46
1636639421.0,35.61,32.71
1636639248.0,36.80,34.97
1636639439.0,35.77,32.68
1636639485.0,35.51,32.91
1636639857.0,40.40,26.22
1636639862.0,40.44,26.33
1636639867.0,40.45,26.41
1636639873.0,40.43,26.29
1636639878.0,40.44,26.33
1636639883.0,40.66,26.16
1636639888.0,40.76,25.98
1636639893.0,40.86,26.03
1636639898.0,40.94,25.86
1636639903.0,40.99,25.85
1636640378.0,44.24,23.69
1636640384.0,44.39,23.55
1636640389.0,44.39,23.40
1636640394.0,44.49,23.38
1636640399.0,44.59,23.34
1636640404.0,44.47,23.47
1636640409.0,44.33,23.72
1636640414.0,44.28,24.00
1636640419.0,44.29,24.13
1636640424.0,44.52,23.91
1636640553.0,43.28,25.45
1636640558.0,43.17,25.58
1636640563.0,43.10,25.69
1636640568.0,42.95,25.76
1636640573.0,42.88,25.88
1636640578.0,42.81,26.01
1636640583.0,42.68,26.00
1636640588.0,42.44,26.09
1636640593.0,42.20,26.34
1636640598.0,41.99,26.60
1636640820.0,39.44,29.51
1636640825.0,39.35,29.52
